adm1 identifier,report,log10 of population,surveillance quality,temperature suitability index,rainfall delayed by one month,interaction of the temperature suitability index and rainfall delayed by one month,EVI
TZA14,0,6.225502557,2.152947454,7.832593626,2.694611096,18.50709805,0.30932659
TZA15,0,6.150539391,2.152947454,16.34168603,1.991425351,34.8819374,0.313550009
TZA16,0,5.966021409,2.152947454,18.06682891,2.600334757,49.85057924,0.338910944
TZA17,0,6.383231522,2.152947454,9.572963287,2.545099959,22.43147362,0.257148178
TZA18,0,5.861221314,2.152947454,20.76828881,2.222315317,46.49489951,0.340421995
TZA19,0,5.971042164,2.152947454,7.964111617,2.507375725,16.26162141,0.317404375
TZA2,0,6.309454299,2.152947454,20.05810465,2.152931223,41.85226727,0.281177178
TZA20,0,5.961781766,2.152947454,8.348186846,2.721892205,23.0314003,0.330179825
TZA21,0,6.361612533,2.152947454,11.43375278,2.41788224,24.41605867,0.241000385
TZA22,0,5.949752024,2.152947454,10.60409585,1.79207683,17.88926264,0.231328327
TZA23,0,6.14908784,2.152947454,12.52941829,2.372260804,24.82786128,0.264996957
TZA24,0,6.130016708,2.152947454,16.70415765,1.642888745,29.11038678,0.33505437
TZA25,0,4.888943482,2.152947454,19.31730684,2.729404899,52.95410357,0.423724523
TZA3,0,6.143342159,2.152947454,11.61289173,1.37239731,17.18398103,0.22425779
TZA4,0,6.097550112,2.152947454,6.15798202,2.303686637,14.80550032,0.295946493
TZA5,0,6.222196618,2.152947454,7.1848494,2.560610762,17.06854796,0.332924948
TZA6,0,5.182211307,2.152947454,17.93388546,1.723911245,30.35509646,0.357778346
TZA7,0,5.049673055,2.152947454,20.0770073,2.49336627,50.78284155,0.408380259
TZA8,0,6.136644614,2.152947454,8.145906508,2.597147135,17.0848841,0.348868252
TZA9,0,6.054610445,2.152947454,11.21266659,1.240441706,14.4321745,0.275665893
UGA1,0,5.218598357,2.152947454,17.39532163,3.161331831,47.34935435,0.358835815
UGA10,0,5.762963146,2.152947454,7.506822029,3.608430233,26.18889879,0.407175572
UGA11,0,5.501505195,2.152947454,6.955221951,3.316544958,22.68867299,0.418584118
UGA12,0,5.560798615,2.152947454,4.051304474,2.316195866,8.881616389,0.401335204
UGA13,0,5.467005333,2.152947454,4.582942636,3.115653573,13.86417409,0.502155683
UGA14,0,5.031963492,2.152947454,10.85067537,3.134056077,31.85713476,0.361322489
UGA15,0,4.394920435,2.152947454,7.212265593,3.56838067,25.68194134,0.198540332
UGA16,0,5.987763384,2.152947454,7.5080659,2.962047268,22.03647282,0.303804013
UGA17,0,5.7614436,2.152947454,8.14815167,3.241897372,25.47073061,0.400322582
UGA18,0,5.333460828,2.152947454,4.937697991,2.819904321,13.59504694,0.447597321
UGA19,0,5.187763684,2.152947454,4.239478759,3.016844796,12.47214649,0.466463379
UGA2,0,5.749222144,2.152947454,11.65435699,3.254648981,34.95312231,0.389216928
UGA20,0,5.189113301,2.152947454,5.544628955,2.737053336,13.13242006,0.363326802
UGA21,0,5.632874344,2.152947454,4.503386577,2.633062412,11.41818065,0.401915193
UGA22,0,5.378854298,2.152947454,10.19294872,3.202096656,30.07836703,0.305168266
UGA23,0,5.381797738,2.152947454,7.725537757,3.20511084,24.28376203,0.442696252
UGA24,0,5.52078222,2.152947454,6.489288217,3.206129797,20.26997532,0.487762857
UGA25,0,5.273282817,2.152947454,7.365229046,3.086354704,22.00744042,0.442361109
UGA26,0,5.24958596,2.152947454,4.001169326,2.901690489,11.04221907,0.449864718
UGA27,0,5.325067096,2.152947454,15.65843296,2.926638319,39.61017493,0.333465235
UGA28,0,5.486416925,2.152947454,11.91083868,1.674201378,17.85816639,0.254607927
UGA29,0,5.502669109,2.152947454,8.820729673,3.103716607,25.29427537,0.32355956
UGA3,0,5.823310737,2.152947454,13.2293391,2.997115872,35.4241934,0.372127385
UGA30,0,5.489004934,2.152947454,5.199393115,3.098651719,15.73867078,0.494902812
UGA31,0,2.262770854,2.152947454,10.67734909,2.744244098,28.74071414,0.052512697
UGA32,0,4.261425173,2.152947454,7.815244774,3.277896062,25.41046946,0.121996506
UGA33,0,5.784562095,2.152947454,11.56204556,3.272084194,34.81971044,0.345610878
UGA34,0,5.592511228,2.152947454,7.129624746,3.236001162,22.66890264,0.475270706
UGA35,0,5.802123398,2.152947454,5.850176484,2.677200931,15.32124009,0.382680634
UGA36,0,5.574743793,2.152947454,10.34575881,3.093019665,29.55802606,0.41156888
UGA37,0,5.421929953,2.152947454,6.268666566,3.428453472,21.03489376,0.385952991
UGA38,0,5.766159305,2.152947454,6.224210523,3.434827216,20.1288219,0.397982315
UGA39,0,5.947617337,2.152947454,5.382283944,2.423770818,12.61531295,0.39796925
UGA4,0,5.518804968,2.152947454,7.0299091,3.857818469,26.03280461,0.37959072
UGA40,0,5.191811204,2.152947454,12.05476144,1.884126141,19.9246813,0.243888278
UGA41,0,5.201751585,2.152947454,17.36607835,3.125066343,47.16674724,0.351848791
UGA42,0,5.522939917,2.152947454,6.227186784,2.87648578,17.67750649,0.44852449
UGA43,0,5.751176576,2.152947454,6.062082586,3.006643149,17.94898794,0.469280921
UGA44,0,5.80891235,2.152947454,6.641462236,3.299630857,21.77539255,0.460259822
UGA45,0,5.09982043,2.152947454,10.19005308,2.277209818,19.98580696,0.261809331
UGA46,0,5.016595599,2.152947454,9.372871789,2.693646886,24.05792202,0.373476064
UGA47,0,5.553902343,2.152947454,10.77589134,2.99958974,29.93171833,0.362790216
UGA48,0,5.489407003,2.152947454,5.457404801,2.325007588,12.19058422,0.406370085
UGA49,0,5.385481211,2.152947454,15.05416704,3.072593194,40.44631097,0.340958144
UGA5,0,5.241356478,2.152947454,5.778698881,3.18856708,18.08387475,0.471201958
UGA50,0,5.629046103,2.152947454,8.550476096,3.401697762,27.69540549,0.363416663
UGA51,0,5.584936505,2.152947454,6.289889931,2.587494017,15.87371245,0.375561702
UGA52,0,5.353393679,2.152947454,4.091143128,2.77250432,10.98672968,0.453540437
UGA53,0,5.168016775,2.152947454,5.980372865,2.564680435,14.87386998,0.374163542
UGA54,0,5.365103779,2.152947454,6.970765476,3.010643949,19.20138777,0.381857561
UGA55,0,5.480551629,2.152947454,10.46814892,3.128536171,30.72932813,0.336420796
UGA56,0,5.641424214,2.152947454,8.34027513,4.094419636,32.43993918,0.383673625
UGA57,0,5.868597575,2.152947454,6.335638437,3.009427805,18.8710128,0.418232596
UGA58,0,5.310902996,2.152947454,15.8587759,2.958297291,40.74134381,0.358445
UGA6,0,5.777234346,2.152947454,4.295063738,2.877658461,12.05447665,0.456340969
UGA7,0,5.252405575,2.152947454,6.99246857,4.291962059,28.65601367,0.400330098
UGA8,0,5.58924945,2.152947454,13.99275457,3.331324214,41.9235629,0.381900476
